Model,MAE,RMSE,sMAPE (%),Family
"SARIMAX(1, 0, 1)x(0, 1, 1, 7) + calendar",96.66297084628164,143.0146435885333,20.383485813515627,Statistical
"Holt-Winters (Additive, m=7)",97.44485440310356,143.8571674826192,20.570011305027894,Statistical
"SARIMA(1,0,1)×(0,1,1,7)",97.7979574451496,145.22961416282084,20.601162520070478,Statistical
Seasonal Naive (t-7),131.53333333333333,211.577986672632,26.523856559913554,Statistical
"ARIMA(1,0,1)",142.02228698571227,184.78963551477437,29.1239093281272,Statistical
